game_date,home_team,away_team,game_url,outcome,score,competition,stadium,attendance,competition_2,score_2,match_notes
07 Jan 2023,Tranmere Rovers,Sutton United,https://www.11v11.com/matches/tranmere-rovers-v-sutton-united-07-january-2023-378062/,D,2-2,League Two,Prenton Park,5348,League Two,2-2,Kick-off: 3.00pm
14 Jan 2023,Tranmere Rovers,Walsall,https://www.11v11.com/matches/tranmere-rovers-v-walsall-14-january-2023-378074/,D,1-1,League Two,Prenton Park,6027,League Two,1-1,Kick-off: 3.00pm
28 Jan 2023,Tranmere Rovers,Leyton Orient,https://www.11v11.com/matches/tranmere-rovers-v-leyton-orient-28-january-2023-378102/,W,1-0,League Two,Prenton Park,5946,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
04 Feb 2023,Stockport County,Tranmere Rovers,https://www.11v11.com/matches/stockport-county-v-tranmere-rovers-04-february-2023-378398/,L,3-2,League Two,"Edgeley Park, Stockport",10231,League Two,3-2 to Stockport County,Kick-off: 3.00pm
07 Feb 2023,Doncaster Rovers,Tranmere Rovers,https://www.11v11.com/matches/doncaster-rovers-v-tranmere-rovers-07-february-2023-378401/,L,2-0,League Two,Eco-Power Stadium,5775,League Two,2-0 to Doncaster Rovers,Kick-off: 7.45pm
11 Feb 2023,Tranmere Rovers,Salford City,https://www.11v11.com/matches/tranmere-rovers-v-salford-city-11-february-2023-378413/,W,1-0,League Two,Prenton Park,6516,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
14 Feb 2023,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-14-february-2023-378415/,L,2-0,League Two,University of Bradford Stadium,15482,League Two,2-0 to Bradford City,Kick-off: 7.45pm
18 Feb 2023,Tranmere Rovers,Mansfield Town,https://www.11v11.com/matches/tranmere-rovers-v-mansfield-town-18-february-2023-378437/,L,0-2,League Two,Prenton Park,6282,League Two,2-0 to Mansfield Town,Kick-off: 3.00pm
25 Feb 2023,Stevenage,Tranmere Rovers,https://www.11v11.com/matches/stevenage-v-tranmere-rovers-25-february-2023-378451/,W,0-1,League Two,Lamex Stadium,3675,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
28 Feb 2023,Tranmere Rovers,Crawley Town,https://www.11v11.com/matches/tranmere-rovers-v-crawley-town-28-february-2023-378458/,W,1-0,League Two,Prenton Park,5105,League Two,1-0 to Tranmere Rovers,Kick-off: 7.45pm
04 Mar 2023,Tranmere Rovers,Hartlepool United,https://www.11v11.com/matches/tranmere-rovers-v-hartlepool-united-04-march-2023-378677/,D,1-1,League Two,Prenton Park,6320,League Two,1-1,Kick-off: 3.00pm
11 Mar 2023,Gillingham,Tranmere Rovers,https://www.11v11.com/matches/gillingham-v-tranmere-rovers-11-march-2023-378689/,L,2-0,League Two,MEMS Priestfield Stadium,5674,League Two,2-0 to Gillingham,Kick-off: 3.00pm
18 Mar 2023,Tranmere Rovers,Newport County,https://www.11v11.com/matches/tranmere-rovers-v-newport-county-18-march-2023-378710/,L,1-3,League Two,Prenton Park,5496,League Two,3-1 to Newport County,Kick-off: 3.00pm
25 Mar 2023,Colchester United,Tranmere Rovers,https://www.11v11.com/matches/colchester-united-v-tranmere-rovers-25-march-2023-378717/,D,1-1,League Two,JobServe Community Stadium,3420,League Two,1-1,Kick-off: 3.00pm
07 Aug 2021,Tranmere Rovers,Walsall,https://www.11v11.com/matches/tranmere-rovers-v-walsall-07-august-2021-371209/,W,1-0,League Two,Prenton Park,7728,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
10 Aug 2021,Oldham Athletic,Tranmere Rovers,https://www.11v11.com/matches/oldham-athletic-v-tranmere-rovers-10-august-2021-371026/,L,2-2 (4-3),League Cup,Boundary Park,2684,League Cup 1st round,2-2 :: penalties 4-3 to Oldham Athletic,Kick-off: 7.45pm|Oldham Athletic won 4-3 on penalties|Extra time not played
14 Aug 2021,Port Vale,Tranmere Rovers,https://www.11v11.com/matches/port-vale-v-tranmere-rovers-14-august-2021-371217/,D,0-0,League Two,Vale Park,6986,League Two,0-0,Kick-off: 3.00pm
17 Aug 2021,Swindon Town,Tranmere Rovers,https://www.11v11.com/matches/swindon-town-v-tranmere-rovers-17-august-2021-371232/,D,0-0,League Two,Energy Check County Ground,8274,League Two,0-0,Kick-off: 7.45pm
21 Aug 2021,Tranmere Rovers,Newport County,https://www.11v11.com/matches/tranmere-rovers-v-newport-county-21-august-2021-371245/,L,0-1,League Two,Prenton Park,6160,League Two,1-0 to Newport County,Kick-off: 3.00pm
28 Aug 2021,Scunthorpe United,Tranmere Rovers,https://www.11v11.com/matches/scunthorpe-united-v-tranmere-rovers-28-august-2021-371254/,L,1-0,League Two,Sands Venue Stadium,2737,League Two,1-0 to Scunthorpe United,Kick-off: 3.00pm
04 Sep 2021,Tranmere Rovers,Hartlepool United,https://www.11v11.com/matches/tranmere-rovers-v-hartlepool-united-04-september-2021-371827/,W,1-0,League Two,Prenton Park,6707,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
11 Sep 2021,Rochdale,Tranmere Rovers,https://www.11v11.com/matches/rochdale-v-tranmere-rovers-11-september-2021-371834/,L,1-0,League Two,Crown Oil Arena,4877,League Two,1-0 to Rochdale,Kick-off: 3.00pm
14 Sep 2021,Tranmere Rovers,Leeds United Academy,https://www.11v11.com/matches/tranmere-rovers-v-leeds-united-academy-14-september-2021-371579/,W,4-1,Football League Trophy,Prenton Park,,Football League Trophy Group B – North,4-1 to Tranmere Rovers,Kick-off: 7.00pm
18 Sep 2021,Tranmere Rovers,Salford City,https://www.11v11.com/matches/tranmere-rovers-v-salford-city-18-september-2021-371853/,W,2-0,League Two,Prenton Park,5854,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm
25 Sep 2021,Forest Green Rovers,Tranmere Rovers,https://www.11v11.com/matches/forest-green-rovers-v-tranmere-rovers-25-september-2021-371856/,D,0-0,League Two,"The Fully Charged New Lawn, Nailsworth",2356,League Two,0-0,Kick-off: 3.00pm
02 Oct 2021,Tranmere Rovers,Crawley Town,https://www.11v11.com/matches/tranmere-rovers-v-crawley-town-02-october-2021-372161/,W,2-1,League Two,Prenton Park,6046,League Two,2-1 to Tranmere Rovers,Kick-off: 3.00pm
05 Oct 2021,Salford City,Tranmere Rovers,https://www.11v11.com/matches/salford-city-v-tranmere-rovers-05-october-2021-372383/,W,0-2,Football League Trophy,"Peninsula Stadium, Salford",,Football League Trophy Group B – North,2-0 to Tranmere Rovers,Kick-off: 7.00pm
08 Oct 2021,Tranmere Rovers,Colchester United,https://www.11v11.com/matches/tranmere-rovers-v-colchester-united-08-october-2021-372162/,W,2-0,League Two,Prenton Park,7324,League Two,2-0 to Tranmere Rovers,Kick-off: 7.45pm
16 Oct 2021,Carlisle United,Tranmere Rovers,https://www.11v11.com/matches/carlisle-united-v-tranmere-rovers-16-october-2021-372175/,W,0-1,League Two,Brunton Park,4831,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
19 Oct 2021,Harrogate Town,Tranmere Rovers,https://www.11v11.com/matches/harrogate-town-v-tranmere-rovers-19-october-2021-372190/,D,2-2,League Two,"EnviroVent Stadium, Harrogate",2573,League Two,2-2,Kick-off: 7.45pm
23 Oct 2021,Tranmere Rovers,Northampton Town,https://www.11v11.com/matches/tranmere-rovers-v-northampton-town-23-october-2021-372208/,L,0-2,League Two,Prenton Park,6855,League Two,2-0 to Northampton Town,Kick-off: 3.00pm
30 Oct 2021,Mansfield Town,Tranmere Rovers,https://www.11v11.com/matches/mansfield-town-v-tranmere-rovers-30-october-2021-372218/,L,2-0,League Two,One Call Stadium,3831,League Two,2-0 to Mansfield Town,Kick-off: 3.00pm
06 Nov 2021,Crawley Town,Tranmere Rovers,https://www.11v11.com/matches/crawley-town-v-tranmere-rovers-06-november-2021-372904/,W,0-1,FA Cup,People's Pension Stadium,1765,FA Cup 1st round,1-0 to Tranmere Rovers,Kick-off: 3.00pm
09 Nov 2021,Tranmere Rovers,Oldham Athletic,https://www.11v11.com/matches/tranmere-rovers-v-oldham-athletic-09-november-2021-372599/,W,3-2,Football League Trophy,Prenton Park,,Football League Trophy Group B – North,3-2 to Tranmere Rovers,Kick-off: 7.00pm
13 Nov 2021,Tranmere Rovers,Sutton United,https://www.11v11.com/matches/tranmere-rovers-v-sutton-united-13-november-2021-372779/,L,0-1,League Two,Prenton Park,6452,League Two,1-0 to Sutton United,Kick-off: 3.00pm
20 Nov 2021,Bristol Rovers,Tranmere Rovers,https://www.11v11.com/matches/bristol-rovers-v-tranmere-rovers-20-november-2021-373017/,D,2-2,League Two,Memorial Stadium,7165,League Two,2-2,Kick-off: 3.00pm
23 Nov 2021,Tranmere Rovers,Bradford City,https://www.11v11.com/matches/tranmere-rovers-v-bradford-city-23-november-2021-372803/,W,2-1,League Two,Prenton Park,5962,League Two,2-1 to Tranmere Rovers,Kick-off: 7.45pm
04 Dec 2021,Leyton Orient,Tranmere Rovers,https://www.11v11.com/matches/leyton-orient-v-tranmere-rovers-04-december-2021-373045/,L,4-0,FA Cup,The Breyer Group Stadium,3248,FA Cup 2nd round,4-0 to Leyton Orient,Kick-off: 3.00pm
07 Dec 2021,Oldham Athletic,Tranmere Rovers,https://www.11v11.com/matches/oldham-athletic-v-tranmere-rovers-07-december-2021-373253/,W,0-1,League Two,Boundary Park,4303,League Two,1-0 to Tranmere Rovers,Kick-off: 7.45pm
11 Dec 2021,Exeter City,Tranmere Rovers,https://www.11v11.com/matches/exeter-city-v-tranmere-rovers-11-december-2021-373259/,W,0-1,League Two,"St James Park, Exeter",4850,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
18 Dec 2021,Tranmere Rovers,Leyton Orient,https://www.11v11.com/matches/tranmere-rovers-v-leyton-orient-18-december-2021-373279/,W,1-0,League Two,Prenton Park,6578,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
21 Dec 2021,Tranmere Rovers,Harrogate Town,https://www.11v11.com/matches/tranmere-rovers-v-harrogate-town-21-december-2021-373310/,L,1-2,Football League Trophy,Prenton Park,,Football League Trophy 2nd round - northern section,2-1 to Harrogate Town,Kick-off: 7.00pm
26 Dec 2021,Tranmere Rovers,Barrow,https://www.11v11.com/matches/tranmere-rovers-v-barrow-26-december-2021-373292/,W,2-0,League Two,Prenton Park,5467,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm
08 Jan 2022,Tranmere Rovers,Scunthorpe United,https://www.11v11.com/matches/tranmere-rovers-v-scunthorpe-united-08-january-2022-373577/,W,4-0,League Two,Prenton Park,6056,League Two,4-0 to Tranmere Rovers,Kick-off: 3.00pm
11 Jan 2022,Salford City,Tranmere Rovers,https://www.11v11.com/matches/salford-city-v-tranmere-rovers-11-january-2022-373720/,D,1-1,League Two,"Peninsula Stadium, Salford",2273,League Two,1-1,Kick-off: 7.45pm
15 Jan 2022,Tranmere Rovers,Rochdale,https://www.11v11.com/matches/tranmere-rovers-v-rochdale-15-january-2022-373590/,W,2-0,League Two,Prenton Park,7046,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm
22 Jan 2022,Crawley Town,Tranmere Rovers,https://www.11v11.com/matches/crawley-town-v-tranmere-rovers-22-january-2022-373592/,W,0-1,League Two,People's Pension Stadium,2803,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
29 Jan 2022,Tranmere Rovers,Forest Green Rovers,https://www.11v11.com/matches/tranmere-rovers-v-forest-green-rovers-29-january-2022-373615/,L,0-4,League Two,Prenton Park,10924,League Two,4-0 to Forest Green Rovers,Kick-off: 3.00pm
01 Feb 2022,Tranmere Rovers,Stevenage,https://www.11v11.com/matches/tranmere-rovers-v-stevenage-01-february-2022-374071/,W,1-0,League Two,Prenton Park,5723,League Two,1-0 to Tranmere Rovers,Kick-off: 7.45pm
05 Feb 2022,Barrow,Tranmere Rovers,https://www.11v11.com/matches/barrow-v-tranmere-rovers-05-february-2022-374073/,D,1-1,League Two,"The Dunes Hotel Stadium, Barrow",3699,League Two,1-1,Kick-off: 3.00pm
08 Feb 2022,Tranmere Rovers,Swindon Town,https://www.11v11.com/matches/tranmere-rovers-v-swindon-town-08-february-2022-374094/,W,3-0,League Two,Prenton Park,5767,League Two,3-0 to Tranmere Rovers,Kick-off: 7.45pm
12 Feb 2022,Walsall,Tranmere Rovers,https://www.11v11.com/matches/walsall-v-tranmere-rovers-12-february-2022-374106/,L,1-0,League Two,Banks's Stadium,5440,League Two,1-0 to Walsall,Kick-off: 3.00pm
15 Feb 2022,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-15-february-2022-374109/,L,1-0,League Two,"Suit Direct Stadium, Hartlepool",5214,League Two,1-0 to Hartlepool United,Kick-off: 7.45pm
19 Feb 2022,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-19-february-2022-374121/,D,1-1,League Two,Prenton Park,7456,League Two,1-1,Kick-off: 3.00pm
26 Feb 2022,Newport County,Tranmere Rovers,https://www.11v11.com/matches/newport-county-v-tranmere-rovers-26-february-2022-374134/,L,4-2,League Two,Rodney Parade,3924,League Two,4-2 to Newport County,Kick-off: 3.00pm
05 Mar 2022,Northampton Town,Tranmere Rovers,https://www.11v11.com/matches/northampton-town-v-tranmere-rovers-05-march-2022-374369/,L,3-2,League Two,PTS Academy Stadium,7379,League Two,3-2 to Northampton Town,Kick-off: 3.00pm
11 Mar 2022,Tranmere Rovers,Mansfield Town,https://www.11v11.com/matches/tranmere-rovers-v-mansfield-town-11-march-2022-374375/,W,3-2,League Two,Prenton Park,7857,League Two,3-2 to Tranmere Rovers,Kick-off: 7.45pm
15 Mar 2022,Tranmere Rovers,Harrogate Town,https://www.11v11.com/matches/tranmere-rovers-v-harrogate-town-15-march-2022-374397/,W,2-0,League Two,Prenton Park,5437,League Two,2-0 to Tranmere Rovers,Kick-off: 7.45pm
19 Mar 2022,Sutton United,Tranmere Rovers,https://www.11v11.com/matches/sutton-united-v-tranmere-rovers-19-march-2022-374409/,D,1-1,League Two,"VBS Community Stadium, Sutton",3366,League Two,1-1,Kick-off: 3.00pm
26 Mar 2022,Colchester United,Tranmere Rovers,https://www.11v11.com/matches/colchester-united-v-tranmere-rovers-26-march-2022-374417/,L,1-0,League Two,JobServe Community Stadium,2459,League Two,1-0 to Colchester United,Kick-off: 3.00pm
02 Apr 2022,Tranmere Rovers,Carlisle United,https://www.11v11.com/matches/tranmere-rovers-v-carlisle-united-02-april-2022-374809/,D,2-2,League Two,Prenton Park,6477,League Two,2-2,Kick-off: 3.00pm
09 Apr 2022,Tranmere Rovers,Bristol Rovers,https://www.11v11.com/matches/tranmere-rovers-v-bristol-rovers-09-april-2022-374824/,D,1-1,League Two,Prenton Park,6637,League Two,1-1,Kick-off: 3.00pm
15 Apr 2022,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-15-april-2022-374827/,D,1-1,League Two,Utilita Energy Stadium,17257,League Two,1-1,Kick-off: 3.00pm
18 Apr 2022,Tranmere Rovers,Exeter City,https://www.11v11.com/matches/tranmere-rovers-v-exeter-city-18-april-2022-374848/,W,2-0,League Two,Prenton Park,6666,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm
23 Apr 2022,Stevenage,Tranmere Rovers,https://www.11v11.com/matches/stevenage-v-tranmere-rovers-23-april-2022-374859/,L,2-0,League Two,Lamex Stadium,2969,League Two,2-0 to Stevenage,Kick-off: 3.00pm
30 Apr 2022,Tranmere Rovers,Oldham Athletic,https://www.11v11.com/matches/tranmere-rovers-v-oldham-athletic-30-april-2022-374875/,W,2-0,League Two,Prenton Park,8008,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm
07 May 2022,Leyton Orient,Tranmere Rovers,https://www.11v11.com/matches/leyton-orient-v-tranmere-rovers-07-may-2022-375023/,W,0-1,League Two,The Breyer Group Stadium,6623,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
05 Sep 2020,Tranmere Rovers,Harrogate Town,https://www.11v11.com/matches/tranmere-rovers-v-harrogate-town-05-september-2020-366863/,L,1-1 (7-8),League Cup,Prenton Park,,League Cup 1st round,1-1 :: penalties 8-7 to Harrogate Town,Kick-off: 3.00pm|Harrogate Town won 8-7 on penalties.|Extra time not played.|Played behind closed doors due to COVID-19 restrictions.
08 Sep 2020,Port Vale,Tranmere Rovers,https://www.11v11.com/matches/port-vale-v-tranmere-rovers-08-september-2020-367075/,D,0-0,Football League Trophy,Vale Park,,Football League Trophy Group D – North,0-0,"Kick-off: 7.00pm|Played behind closed doors due to COVID-19 restrictions.|Due to winning the penalty shoot-out (4-3) after 90 minutes, Port Vale were awarded a bonus point."
12 Sep 2020,Mansfield Town,Tranmere Rovers,https://www.11v11.com/matches/mansfield-town-v-tranmere-rovers-12-september-2020-366986/,D,0-0,League Two,One Call Stadium,,League Two,0-0,Kick-off: 3.00pm|Played behind closed doors due to COVID-19 restrictions.
19 Sep 2020,Tranmere Rovers,Cheltenham Town,https://www.11v11.com/matches/tranmere-rovers-v-cheltenham-town-19-september-2020-367004/,L,0-3,League Two,Prenton Park,,League Two,3-0 to Cheltenham Town,Kick-off: 3.00pm|Played behind closed doors due to COVID-19 restrictions.
26 Sep 2020,Cambridge United,Tranmere Rovers,https://www.11v11.com/matches/cambridge-united-v-tranmere-rovers-26-september-2020-367008/,D,0-0,League Two,Abbey Stadium,,League Two,0-0,Kick-off: 3.00pm|Played behind closed doors due to COVID-19 restrictions.
29 Sep 2020,Tranmere Rovers,Liverpool,https://www.11v11.com/matches/tranmere-rovers-v-liverpool-29-september-2020-367077/,W,3-2,Football League Trophy,Prenton Park,,Football League Trophy Group D – North,3-2 to Tranmere Rovers,"Kick-off: 7.00pm|Played behind closed doors due to COVID-19 restrictions.|In line with Premier League and League Championship clubs being allowed to enter the competition, Liverpool fielded their Category One Academy team as part of the Elite Player Performance Plan (EPPP) youth development scheme initiated by the Premier League."
03 Oct 2020,Tranmere Rovers,Scunthorpe United,https://www.11v11.com/matches/tranmere-rovers-v-scunthorpe-united-03-october-2020-367557/,W,2-0,League Two,Prenton Park,,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm|Played behind closed doors due to COVID-19 restrictions.
10 Oct 2020,Salford City,Tranmere Rovers,https://www.11v11.com/matches/salford-city-v-tranmere-rovers-10-october-2020-367565/,D,2-2,League Two,"Peninsula Stadium, Salford",,League Two,2-2,Kick-off: 3.00pm|Played behind closed doors due to COVID-19 restrictions.
17 Oct 2020,Newport County,Tranmere Rovers,https://www.11v11.com/matches/newport-county-v-tranmere-rovers-17-october-2020-367577/,L,1-0,League Two,Rodney Parade,,League Two,1-0 to Newport County,Kick-off: 3.00pm|Played behind closed doors due to COVID-19 restrictions.
20 Oct 2020,Tranmere Rovers,Leyton Orient,https://www.11v11.com/matches/tranmere-rovers-v-leyton-orient-20-october-2020-367593/,L,0-1,League Two,Prenton Park,,League Two,1-0 to Leyton Orient,Kick-off: 7.00pm|Played behind closed doors due to COVID-19 restrictions.
24 Oct 2020,Tranmere Rovers,Southend United,https://www.11v11.com/matches/tranmere-rovers-v-southend-united-24-october-2020-367605/,W,2-0,League Two,Prenton Park,,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm|Played behind closed doors due to COVID-19 restrictions.
27 Oct 2020,Crawley Town,Tranmere Rovers,https://www.11v11.com/matches/crawley-town-v-tranmere-rovers-27-october-2020-367607/,L,4-0,League Two,People's Pension Stadium,,League Two,4-0 to Crawley Town,Kick-off: 6.30pm|Played behind closed doors due to COVID-19 restrictions.
31 Oct 2020,Tranmere Rovers,Morecambe,https://www.11v11.com/matches/tranmere-rovers-v-morecambe-31-october-2020-367629/,L,0-1,League Two,Prenton Park,,League Two,1-0 to Morecambe,Kick-off: 3.00pm|Played behind closed doors due to COVID-19 restrictions.
